unit,sex,age,region,year,value
YR,F,Y32,PT,2000,49.4
YR,M,Y21,PT,1999,52.8
YR,F,Y57,PT,1999,25.5
YR,M,Y41,PT,1999,34.8
YR,T,Y45,PT,1999,34.0
YR,T,Y48,PT,1999,31.3
YR,F,Y37,PT,1999,44.1
YR,F,Y32,PT,1999,48.9
YR,M,Y21,PT,1998,52.6
YR,F,Y57,PT,1998,25.5
YR,M,Y41,PT,1998,34.6
YR,T,Y45,PT,1998,33.9
YR,T,Y48,PT,1998,31.2
YR,F,Y37,PT,1998,44.1
YR,F,Y32,PT,1998,48.9
YR,M,Y21,PT,1997,52.5
YR,F,Y57,PT,1997,25.4
YR,M,Y41,PT,1997,34.6
YR,T,Y45,PT,1997,33.8
YR,T,Y48,PT,1997,31.1
YR,F,Y37,PT,1997,43.9
YR,F,Y32,PT,1997,48.7
YR,M,Y21,PT,1996,52.0
YR,F,Y57,PT,1996,25.0
YR,M,Y41,PT,1996,34.1
YR,T,Y45,PT,1996,33.3
YR,T,Y48,PT,1996,30.7
YR,F,Y37,PT,1996,43.5
YR,F,Y32,PT,1996,48.3
YR,M,Y21,PT,1995,52.2
YR,F,Y57,PT,1995,25.0
YR,M,Y41,PT,1995,34.3
YR,T,Y45,PT,1995,33.4
YR,T,Y48,PT,1995,30.7
YR,F,Y37,PT,1995,43.5
YR,F,Y32,PT,1995,48.3
YR,M,Y21,PT,1994,52.5
YR,F,Y57,PT,1994,25.1
YR,M,Y41,PT,1994,34.4
YR,T,Y45,PT,1994,33.5
YR,T,Y48,PT,1994,30.8
YR,F,Y37,PT,1994,43.6
YR,F,Y32,PT,1994,48.4
YR,M,Y21,PT,1993,51.6
YR,F,Y57,PT,1993,24.4
YR,M,Y41,PT,1993,33.5
YR,T,Y45,PT,1993,32.7
YR,T,Y48,PT,1993,30.0
YR,F,Y37,PT,1993,42.8
YR,F,Y32,PT,1993,47.6
YR,M,Y21,PT,1992,51.8
YR,F,Y57,PT,1992,24.6
YR,M,Y41,PT,1992,33.8
YR,T,Y45,PT,1992,33.0
YR,T,Y48,PT,1992,30.3
YR,F,Y37,PT,1992,43.1
YR,F,Y32,PT,1992,47.9
YR,M,Y21,PT,1991,51.5
YR,F,Y57,PT,1991,24.1
YR,M,Y41,PT,1991,33.4
YR,T,Y45,PT,1991,32.5
YR,T,Y48,PT,1991,29.8
YR,F,Y37,PT,1991,42.5
YR,F,Y32,PT,1991,47.3
YR,M,Y21,PT,1990,51.5
YR,F,Y57,PT,1990,24.0
YR,M,Y41,PT,1990,33.4
YR,T,Y45,PT,1990,32.4
YR,T,Y48,PT,1990,29.7
YR,F,Y37,PT,1990,42.4
YR,F,Y32,PT,1990,47.2
YR,M,Y21,PT,1989,51.9
YR,F,Y57,PT,1989,24.4
YR,M,Y41,PT,1989,33.7
YR,T,Y45,PT,1989,32.8
YR,T,Y48,PT,1989,30.1
YR,F,Y37,PT,1989,42.9
YR,F,Y32,PT,1989,47.7
YR,M,Y21,PT,1988,51.4
YR,F,Y57,PT,1988,24.0
YR,M,Y41,PT,1988,33.2
YR,T,Y45,PT,1988,32.3
YR,T,Y48,PT,1988,29.6
YR,F,Y37,PT,1988,42.4
YR,F,Y32,PT,1988,47.2
YR,M,Y21,PT,1987,51.5
YR,F,Y57,PT,1987,24.0
YR,M,Y41,PT,1987,33.2
YR,T,Y45,PT,1987,32.3
YR,T,Y48,PT,1987,29.7
YR,F,Y37,PT,1987,42.3
YR,F,Y32,PT,1987,47.1
YR,M,Y21,PT,1986,51.2
YR,F,Y57,PT,1986,23.7
YR,M,Y41,PT,1986,32.8
YR,T,Y45,PT,1986,32.0
YR,T,Y48,PT,1986,29.3
YR,F,Y37,PT,1986,42.1
YR,F,Y32,PT,1986,46.9
YR,M,Y21,PT,1985,50.9
YR,F,Y57,PT,1985,23.4
YR,M,Y41,PT,1985,32.5
YR,T,Y45,PT,1985,31.7
YR,T,Y48,PT,1985,29.0
YR,F,Y37,PT,1985,41.7
YR,F,Y32,PT,1985,46.5
YR,M,Y21,PT,1984,50.7
YR,F,Y57,PT,1984,23.3
YR,M,Y41,PT,1984,32.3
YR,T,Y45,PT,1984,31.5
YR,T,Y48,PT,1984,28.9
YR,F,Y37,PT,1984,41.6
YR,F,Y32,PT,1984,46.3
YR,M,Y21,PT,1983,50.6
YR,F,Y57,PT,1983,23.2
YR,M,Y41,PT,1983,32.4
YR,T,Y45,PT,1983,31.5
YR,T,Y48,PT,1983,28.8
YR,F,Y37,PT,1983,41.4
YR,F,Y32,PT,1983,46.2
YR,M,Y21,PT,1982,50.8
YR,F,Y57,PT,1982,23.4
YR,M,Y41,PT,1982,32.6
YR,T,Y45,PT,1982,31.7
YR,T,Y48,PT,1982,29.0
YR,F,Y37,PT,1982,41.6
YR,F,Y32,PT,1982,46.4
YR,M,Y21,PT,1981,50.2
YR,F,Y57,PT,1981,22.9
YR,M,Y41,PT,1981,32.0
YR,T,Y45,PT,1981,31.2
YR,T,Y48,PT,1981,28.6
YR,F,Y37,PT,1981,41.1
YR,F,Y32,PT,1981,45.9
YR,M,Y21,PT,1980,50.2
YR,F,Y57,PT,1980,22.7
YR,M,Y41,PT,1980,32.0
YR,T,Y45,PT,1980,31.1
YR,T,Y48,PT,1980,28.4
YR,F,Y37,PT,1980,41.0
YR,F,Y32,PT,1980,45.8
YR,M,Y21,PT,1979,50.2
YR,F,Y57,PT,1979,22.6
YR,M,Y41,PT,1979,32.0
YR,T,Y45,PT,1979,31.0
YR,T,Y48,PT,1979,28.4
YR,F,Y37,PT,1979,40.8
YR,F,Y32,PT,1979,45.6
YR,M,Y21,PT,1978,49.6
YR,F,Y57,PT,1978,22.0
YR,M,Y41,PT,1978,31.4
YR,T,Y45,PT,1978,30.5
YR,T,Y48,PT,1978,27.8
YR,F,Y37,PT,1978,40.3
YR,F,Y32,PT,1978,45.1
YR,M,Y21,PT,1977,49.2
YR,F,Y57,PT,1977,22.1
YR,M,Y41,PT,1977,31.0
YR,T,Y45,PT,1977,30.2
YR,T,Y48,PT,1977,27.6
YR,F,Y37,PT,1977,40.2
YR,F,Y32,PT,1977,44.9
YR,M,Y21,PT,1976,48.3
YR,F,Y57,PT,1976,21.5
YR,M,Y41,PT,1976,30.3
YR,T,Y45,PT,1976,29.6
YR,T,Y48,PT,1976,27.0
YR,F,Y37,PT,1976,39.5
YR,F,Y32,PT,1976,44.3
YR,M,Y21,PT,1975,48.2
YR,F,Y57,PT,1975,21.4
YR,M,Y41,PT,1975,30.2
YR,T,Y45,PT,1975,29.5
YR,T,Y48,PT,1975,26.9
YR,F,Y37,PT,1975,39.4
YR,F,Y32,PT,1975,44.2
YR,M,Y21,PT,1974,48.2
YR,F,Y57,PT,1974,20.6
YR,M,Y41,PT,1974,30.1
YR,T,Y45,PT,1974,29.0
YR,T,Y48,PT,1974,26.4
YR,F,Y37,PT,1974,38.6
YR,F,Y32,PT,1974,43.4
YR,M,Y21,PT,1973,48.5
YR,F,Y57,PT,1973,20.6
YR,M,Y41,PT,1973,30.3
YR,T,Y45,PT,1973,29.1
YR,T,Y48,PT,1973,26.5
YR,F,Y37,PT,1973,38.6
YR,F,Y32,PT,1973,43.3
YR,M,Y21,PT,1972,49.1
YR,F,Y57,PT,1972,21.0
YR,M,Y41,PT,1972,30.8
YR,T,Y45,PT,1972,29.6
YR,T,Y48,PT,1972,26.9
YR,F,Y37,PT,1972,39.1
YR,F,Y32,PT,1972,43.9
YR,M,Y21,PT,1971,48.3
YR,F,Y57,PT,1971,20.6
YR,M,Y41,PT,1971,30.2
YR,T,Y45,PT,1971,29.1
YR,T,Y48,PT,1971,26.5
YR,F,Y37,PT,1971,38.6
YR,F,Y32,PT,1971,43.3
YR,M,Y21,PT,1970,49.1
YR,F,Y57,PT,1970,21.1
YR,M,Y41,PT,1970,30.9
YR,T,Y45,PT,1970,29.7
YR,T,Y48,PT,1970,27.1
YR,F,Y37,PT,1970,39.2
YR,F,Y32,PT,1970,44.0
YR,M,Y21,PT,1969,48.0
YR,F,Y57,PT,1969,20.3
YR,M,Y41,PT,1969,29.8
YR,T,Y45,PT,1969,28.7
YR,T,Y48,PT,1969,26.1
YR,F,Y37,PT,1969,38.2
YR,F,Y32,PT,1969,42.9
YR,M,Y21,PT,1968,48.8
YR,F,Y57,PT,1968,20.9
YR,M,Y41,PT,1968,30.6
YR,T,Y45,PT,1968,29.5
YR,T,Y48,PT,1968,26.8
YR,F,Y37,PT,1968,38.9
YR,F,Y32,PT,1968,43.6
YR,M,Y21,PT,1967,48.3
YR,F,Y57,PT,1967,20.9
YR,M,Y41,PT,1967,30.2
YR,T,Y45,PT,1967,29.2
YR,T,Y48,PT,1967,26.6
YR,F,Y37,PT,1967,38.7
YR,F,Y32,PT,1967,43.5
YR,M,Y21,PT,1966,48.1
YR,F,Y57,PT,1966,20.6
YR,M,Y41,PT,1966,29.9
YR,T,Y45,PT,1966,28.9
YR,T,Y48,PT,1966,26.3
YR,F,Y37,PT,1966,38.4
YR,F,Y32,PT,1966,43.2
YR,M,Y21,PT,1965,48.8
YR,F,Y57,PT,1965,21.0
YR,M,Y41,PT,1965,30.6
YR,T,Y45,PT,1965,29.5
YR,T,Y48,PT,1965,26.9
YR,F,Y37,PT,1965,39.0
YR,F,Y32,PT,1965,43.7
YR,M,Y21,PT,1964,48.8
YR,F,Y57,PT,1964,21.0
YR,M,Y41,PT,1964,30.7
YR,T,Y45,PT,1964,29.5
YR,T,Y48,PT,1964,26.9
YR,F,Y37,PT,1964,38.9
YR,F,Y32,PT,1964,43.6
YR,M,Y21,PT,1963,48.8
YR,F,Y57,PT,1963,20.9
YR,M,Y41,PT,1963,30.6
YR,T,Y45,PT,1963,29.4
YR,T,Y48,PT,1963,26.8
YR,F,Y37,PT,1963,38.8
YR,F,Y32,PT,1963,43.5
YR,M,Y21,PT,1962,49.0
YR,F,Y57,PT,1962,21.2
YR,M,Y41,PT,1962,31.0
YR,T,Y45,PT,1962,29.8
YR,T,Y48,PT,1962,27.1
YR,F,Y37,PT,1962,39.1
YR,F,Y32,PT,1962,43.7
YR,M,Y21,PT,1961,49.1
YR,F,Y57,PT,1961,21.1
YR,M,Y41,PT,1961,31.1
YR,T,Y45,PT,1961,29.8
YR,T,Y48,PT,1961,27.1
YR,F,Y37,PT,1961,38.9
YR,F,Y32,PT,1961,43.6
YR,M,Y21,PT,1960,48.9
YR,F,Y57,PT,1960,20.9
YR,M,Y41,PT,1960,30.8
YR,T,Y45,PT,1960,29.5
YR,T,Y48,PT,1960,26.9
YR,F,Y37,PT,1960,38.7
YR,F,Y32,PT,1960,43.4
